Date,Close,High,Low,Open,Volume,return,volatility_20d,volatility_20d_annualized,volatility_20d_annualized_pct,volatility_60d,volatility_60d_annualized_pct,abs_return,regime volatilite
2024-09-18,5618.259765625,5689.75,5615.080078125,5641.68017578125,3691390000,,,,,,,,indisponible
2024-09-19,5713.64013671875,5733.56982421875,5686.419921875,5702.6298828125,4024530000,0.01697685316676334,,,,,,0.01697685316676334,indisponible
2024-09-20,5702.5498046875,5715.14013671875,5674.490234375,5709.64013671875,7867260000,-0.0019410273951238066,,,,,,0.0019410273951238066,indisponible
2024-09-23,5718.56982421875,5725.35986328125,5704.22021484375,5711.89990234375,3529550000,0.0028092730585327352,,,,,,0.0028092730585327352,indisponible
2024-09-24,5732.93017578125,5735.31982421875,5698.990234375,5727.66015625,3872710000,0.0025111788443470395,,,,,,0.0025111788443470395,indisponible
2024-09-25,5722.259765625,5741.02978515625,5712.06005859375,5733.64990234375,3624910000,-0.0018612489301417234,,,,,,0.0018612489301417234,indisponible
2024-09-26,5745.3701171875,5767.3701171875,5721.009765625,5762.22021484375,4391180000,0.00403867571712313,,,,,,0.00403867571712313,indisponible
2024-09-27,5738.169921875,5763.77978515625,5727.33984375,5755.35986328125,3898530000,-0.0012532169669905446,,,,,,0.0012532169669905446,indisponible
2024-09-30,5762.47998046875,5765.14013671875,5703.52978515625,5726.52001953125,4425730000,0.004236552581176722,,,,,,0.004236552581176722,indisponible
2024-10-01,5708.75,5757.72998046875,5681.27978515625,5757.72998046875,4025180000,-0.009324107094664358,,,,,,0.009324107094664358,indisponible
2024-10-02,5709.5400390625,5719.6298828125,5674.0,5698.14013671875,3829050000,0.00013839090212397487,,,,,,0.00013839090212397487,indisponible
2024-10-03,5699.93994140625,5718.77978515625,5677.3701171875,5698.18994140625,3597450000,-0.001681413492255035,,,,,,0.001681413492255035,indisponible
2024-10-04,5751.06982421875,5753.2099609375,5702.830078125,5737.47998046875,3479400000,0.008970249395274354,,,,,,0.008970249395274354,indisponible
2024-10-07,5695.93994140625,5739.33984375,5686.85009765625,5737.7998046875,3637790000,-0.009586022165882668,,,,,,0.009586022165882668,indisponible
2024-10-08,5751.1298828125,5757.60009765625,5714.56005859375,5719.14013671875,3393400000,0.009689347495581924,,,,,,0.009689347495581924,indisponible
2024-10-09,5792.0400390625,5796.7998046875,5745.02001953125,5751.7998046875,3650340000,0.007113411987488272,,,,,,0.007113411987488272,indisponible
2024-10-10,5780.0498046875,5795.02978515625,5764.759765625,5778.35986328125,3208790000,-0.002070122839989974,,,,,,0.002070122839989974,indisponible
2024-10-11,5815.02978515625,5822.1298828125,5775.08984375,5775.08984375,3208720000,0.006051847587953629,,,,,,0.006051847587953629,indisponible
2024-10-14,5859.85009765625,5871.41015625,5829.56982421875,5829.81005859375,3005250000,0.0077076668832223305,,,,,,0.0077076668832223305,indisponible
